DATEOCC,YEAR,MONTH,DAY,CURR_IUCR,FBI_CD,AREA,BEAT,DISTRICT,X_COORD,Y_COORD,LOCATION,INC_CNT
2008-01-01 00:14:00,2008,01,01,0550,04A,5,1512,15,1138132,1903361,092,1
2008-01-01 00:30:00,2008,01,01,051A,04A,2,0312,03,1179974,1862865,303,1
2008-01-01 00:49:00,2008,01,01,0550,04A,1,0832,08,1161204,1858381,303,1
2008-01-01 01:00:00,2008,01,01,0520,04A,2,0412,04,1190302,1848571,290,1
2008-01-01 02:20:00,2008,01,01,0553,04A,1,0912,09,1158103,1873942,092,1
2008-01-01 02:30:00,2008,01,01,051A,04A,2,0334,03,1194284,1856952,304,1
2008-01-01 04:17:39,2008,01,01,051A,04A,5,1533,15,1143792,1900018,290,1
2008-01-01 04:30:00,2008,01,01,0530,04A,2,2232,22,1172757,1836480,304,1
2008-01-01 04:30:00,2008,01,01,0530,04A,5,1622,16,1136201,1936385,090,1
2008-01-01 05:04:00,2008,01,01,051A,04A,1,0711,07,1173225,1864842,290,1
2008-01-01 05:30:00,2008,01,01,051A,04A,1,0824,08,1161020,1865021,090,1
2008-01-01 08:25:00,2008,01,01,0520,04A,5,1412,14,1152200,1918154,290,1
2008-01-01 13:14:38,2008,01,01,0520,04A,2,0423,04,1196242,1849971,304,1
2008-01-01 14:35:00,2008,01,01,051A,04A,1,0814,08,1145076,1874303,304,1
2008-01-01 15:30:00,2008,01,01,0530,04A,4,1133,11,1151782,1897492,121,1
2008-01-01 16:33:00,2008,01,01,0530,04A,4,1132,11,1148906,1896591,290,1
2008-01-01 17:15:00,2008,01,01,051A,04A,2,0624,06,1182837,1852757,289,1
2008-01-01 18:10:00,2008,01,01,0558,04A,2,0414,04,1192880,1852198,233,1
2008-01-01 20:00:00,2008,01,01,051A,04A,5,2521,25,1145308,1918927,290,1
2008-01-01 20:15:00,2008,01,01,0520,04A,4,1111,11,1146614,1906669,090,1
2008-01-01 22:30:00,2008,01,01,0520,04A,2,0622,06,1176463,1850262,290,1
2008-01-01 22:45:00,2008,01,01,0520,04A,2,0323,03,1177558,1857823,293,1
2008-01-01 22:55:00,2008,01,01,051A,04A,2,0321,03,1182389,1861628,304,1
2008-01-02 01:12:00,2008,01,02,0520,04A,2,0523,05,1172277,1820358,290,1
2008-01-02 01:40:00,2008,01,02,0520,04A,2,2213,22,1168919,1839411,290,1
2008-01-02 02:07:00,2008,01,02,0530,04A,4,1213,12,1171052,1898964,259,1
2008-01-02 03:00:00,2008,01,02,0520,04A,2,0324,03,1186363,1857158,090,1
2008-01-02 08:20:00,2008,01,02,0551,04A,2,0432,04,1201491,1842139,304,1
2008-01-02 09:10:00,2008,01,02,0520,04A,1,0934,09,1175240,1869278,290,1
2008-01-02 10:02:18,2008,01,02,0530,04A,5,1511,15,1137824,1903435,290,1
2008-01-02 10:07:22,2008,01,02,051A,04A,1,0213,02,1182085,1876707,121,1
2008-01-02 11:00:00,2008,01,02,0530,04A,2,0524,05,1173732,1826567,290,1
2008-01-02 15:00:00,2008,01,02,051A,04A,5,1532,15,1142850,1900955,290,1
2008-01-02 15:03:00,2008,01,02,0530,04A,2,0512,05,1182472,1834851,304,1
2008-01-02 19:00:00,2008,01,02,051A,04A,4,1112,11,1151221,1906990,330,1
2008-01-02 22:10:00,2008,01,02,0530,04A,2,0421,04,1195808,1855714,090,1
2008-01-02 22:59:00,2008,01,02,0553,04A,5,2525,25,1151701,1914084,304,1
2008-01-03 01:30:00,2008,01,03,051A,04A,5,1532,15,1144255,1902340,240,1
