DATEOCC,YEAR,MONTH,DAY,CURR_IUCR,FBI_CD,AREA,BEAT,DISTRICT,X_COORD,Y_COORD,LOCATION,INC_CNT
2008-01-01 00:00:00,2008,01,01,0266,02,2,0621,06,1171606,1853535,290,1
2008-01-01 00:00:00,2008,01,01,1754,02,4,1122,11,1150832,1899022,290,1
2008-01-01 00:00:00,2008,01,01,0281,02,1,0832,08,1160916,1859682,290,1
2008-01-01 00:00:00,2008,01,01,1753,02,2,0511,05,1182361,1838427,290,1
2008-01-01 00:00:00,2008,01,01,1754,02,5,2531,25,1136699,1909525,290,1
2008-01-01 00:00:00,2008,01,01,0263,02,4,1311,13,1158385,1907496,290,1
2008-01-01 00:00:00,2008,01,01,0266,02,2,0424,04,1199299,1850349,290,1
2008-01-01 00:00:00,2008,01,01,1753,02,2,0512,05,1177828,1835153,290,1
2008-01-01 00:00:00,2008,01,01,0281,02,1,0935,09,1172448,1871421,290,1
2008-01-01 00:00:00,2008,01,01,1754,02,5,1722,17,1148547,1929621,290,1
2008-01-01 00:00:00,2008,01,01,0265,02,4,1211,12,1162398,1899025,090,1
2008-01-01 00:00:00,2008,01,01,0265,02,5,1412,14,1152781,1918361,090,1
2008-01-01 00:00:00,2008,01,01,0266,02,1,0824,08,1161102,1864949,290,1
2008-01-01 00:00:00,2008,01,01,0266,02,4,1332,13,1162552,1900718,290,1
2008-01-01 00:00:00,2008,01,01,0281,02,1,0925,09,1175225,1878836,290,1
2008-01-01 00:00:00,2008,01,01,1754,02,2,2232,22,1173738,1836987,290,1
2008-01-01 00:00:00,2008,01,01,1754,02,1,0725,07,1167145,1859291,290,1
2008-01-01 00:01:00,2008,01,01,1754,02,1,0823,08,1157068,1863578,290,1
2008-01-01 00:01:00,2008,01,01,0266,02,5,1523,15,1140719,1900863,290,1
2008-01-01 00:01:00,2008,01,01,1754,02,2,0333,03,1190868,1856086,290,1
2008-01-01 00:01:00,2008,01,01,1754,02,1,0825,08,1160907,1862847,290,1
2008-01-01 00:01:00,2008,01,01,0266,02,5,1431,14,1158167,1913771,290,1
2008-01-01 00:01:00,2008,01,01,1754,02,4,1112,11,1151938,1905362,290,1
2008-01-01 00:01:00,2008,01,01,0266,02,4,1031,10,1149528,1885577,290,1
2008-01-01 00:01:00,2008,01,01,0266,02,5,2521,25,1141846,1916192,290,1
2008-01-01 00:01:00,2008,01,01,1754,02,5,1723,17,1151628,1929290,290,1
2008-01-01 00:01:00,2008,01,01,0266,02,4,1013,10,1152470,1887364,290,1
2008-01-01 00:01:00,2008,01,01,0266,02,1,0914,09,1159777,1876473,290,1
2008-01-01 00:01:00,2008,01,01,1753,02,4,1134,11,1155268,1897149,290,1
