DATEOCC,YEAR,MONTH,DAY,CURR_IUCR,FBI_CD,AREA,BEAT,DISTRICT,X_COORD,Y_COORD,LOCATION,INC_CNT
2008-01-01 00:02:00,2008,01,01,141A,15,5,1532,15,1143208,1903497,304,1
2008-01-01 00:03:00,2008,01,01,143A,15,4,1131,11,1147389,1896719,330,1
2008-01-01 00:03:13,2008,01,01,143A,15,1,0232,02,1178467,1869616,289,1
2008-01-01 00:04:00,2008,01,01,143A,15,5,1532,15,1142197,1903999,092,1
2008-01-01 00:05:00,2008,01,01,143A,15,5,2533,25,1142940,1908813,330,1
2008-01-01 00:07:00,2008,01,01,143A,15,1,0715,07,1165279,1867006,092,1
2008-01-01 00:07:07,2008,01,01,143A,15,1,0824,08,1157321,1866350,330,1
2008-01-01 00:09:00,2008,01,01,141A,15,4,1121,11,1152906,1903591,289,1
2008-01-01 00:10:00,2008,01,01,1477,15,1,0914,09,1159834,1874463,291,1
2008-01-01 00:10:58,2008,01,01,143A,15,2,0631,06,1183348,1851561,092,1
2008-01-01 00:11:00,2008,01,01,1477,15,5,2531,25,1137719,1908595,330,1
2008-01-01 00:15:00,2008,01,01,143A,15,1,0232,02,1178732,1868638,090,1
2008-01-01 00:25:19,2008,01,01,141A,15,4,1131,11,1147125,1896468,090,1
2008-01-01 00:27:00,2008,01,01,1477,15,1,0832,08,1162590,1860457,290,1
2008-01-01 00:30:00,2008,01,01,143A,15,5,1422,14,1153769,1910058,090,1
2008-01-01 00:30:00,2008,01,01,1460,15,5,1532,15,1143296,1904148,090,1
2008-01-01 00:32:00,2008,01,01,1460,15,1,0233,02,1178551,1866538,090,1
2008-01-01 01:09:00,2008,01,01,143A,15,1,0734,07,1168811,1858948,304,1
2008-01-01 01:13:12,2008,01,01,143A,15,2,0334,03,1193389,1855736,303,1
2008-01-01 01:20:00,2008,01,01,143A,15,1,0714,07,1164361,1864290,290,1
2008-01-01 01:33:00,2008,01,01,143A,15,2,0431,04,1198169,1840785,330,1
2008-01-01 02:37:56,2008,01,01,143A,15,5,1532,15,1141646,1902990,290,1
