"CREATE_DATE","COMPLETE_DATE","X_COORD","Y_COORD","CALL_CNT"
2011-01-01,2011-03-01,1137056.19853155,1903022.38473365,1
2011-01-01,2011-01-14,1169180.10728057,1859024.93066886,1
2011-01-01,2011-02-01,1149661.44287347,1898052.53787324,1
2011-01-01,2011-01-17,1156001.68123198,1830683.52162062,1
2011-01-02,2011-01-28,1152184.40150515,1931678.06207304,1
2011-01-02,2011-01-26,1168856.2822286,1922754.45392466,1
2011-01-02,2011-01-25,1164403.08468058,1944317.44006704,1
2011-01-02,2011-01-21,1159009.23739551,1889293.72219224,1
2011-01-02,2011-01-21,1156381.65757438,1876623.31241271,1
2011-01-02,2011-01-05,1152436.45002133,1887151.18871698,1
2011-01-02,2011-01-20,1164283.93997691,1868505.42079462,1
2011-01-02,2011-01-11,1151594.93080781,1869474.45489096,1
2011-01-02,2011-01-05,1120497.43951828,1921262.0972682,1
2011-01-02,2011-04-05,1178220.51071962,1838966.92998757,1
2011-01-02,2011-02-04,1156698.11048651,1889235.5935319,1
2011-01-02,2011-02-03,1165743.58622568,1908078.36161916,1
2011-01-02,2011-05-25,1181891.65151645,1846768.69747955,1
2011-01-03,2011-01-26,1135439.7738747,1863754.30067202,1
2011-01-03,2011-02-03,1169744.65000956,1911176.25999135,1
2011-01-03,2011-01-26,1187703.74701197,1844926.82890318,1
2011-01-03,2011-01-26,1196918.77929358,1847077.55830187,1
2011-01-03,2011-01-25,1167114.27842238,1946663.35800337,1
2011-01-03,2011-01-25,1174165.96431373,1858300.98502664,1
2011-01-03,2011-01-21,1163969.44982997,1879780.10081657,1
2011-01-03,2011-01-21,1130928.60889295,1935119.99482415,1
2011-01-03,2011-01-14,1164569.12231894,1858079.09287766,1
2011-01-03,2011-01-07,1143373.02201736,1925151.84367508,1
2011-01-03,2011-01-13,1154955.84997114,1865297.42857452,1
2011-01-03,2011-01-13,1131330.12227925,1866978.86781589,1
2011-01-03,2011-01-13,1149826.45252865,1861026.13312575,1
2011-01-03,2011-01-06,1192227.62127485,1853434.57001663,1
2011-01-03,2011-01-07,1181623.30028395,1852092.28058389,1
2011-01-03,2011-02-04,1132610.28529668,1939479.13299118,1
2011-01-03,2011-02-04,1124738.30652034,1949295.69277547,1
2011-01-03,2011-02-04,1144558.02173355,1929857.09150902,1
2011-01-03,2011-04-28,1173647.27597484,1830516.61308232,1
2011-01-03,2011-05-12,1160141.78720458,1862023.92050858,1
2011-01-03,2011-03-14,1194256.86771078,1856638.30398481,1
2011-01-03,2011-02-04,1138202.39058952,1929147.18001667,1
2011-01-03,2011-05-19,1135945.87460561,1926848.24170293,1
2011-01-04,2011-06-01,1170785.95290621,1837170.51439502,1
2011-01-04,2011-05-02,1151872.04119265,1919539.37719856,1
2011-01-04,2011-04-25,1170128.80419133,1836909.06008632,1
2011-01-04,2011-01-11,1139664.0274978,1866671.99617759,1
2011-01-04,2011-04-18,1181220.54947899,1831265.03000038,1
2011-01-04,2011-01-11,1151903.008601,1918380.59946794,1
2011-01-04,2011-01-07,1155982.17002668,1944979.46641445,1
2011-01-04,2011-01-20,1168946.6603917,1836463.91750801,1
2011-01-04,2011-04-11,1129546.81430182,1921153.14787599,1
2011-01-04,2011-01-31,1153121.87750674,1922415.44361778,1
2011-01-04,2011-01-13,1175841.38589436,1895965.10532615,1
2011-01-04,2011-01-28,1180156.18681588,1857314.3496019,1
2011-01-04,2011-01-21,1192937.77761643,1851324.34141776,1
2011-01-04,2011-01-25,1138063.92273361,1930358.15789162,1
2011-01-04,2011-01-21,1172265.14998357,1871715.64011134,1
2011-01-04,2011-01-31,1162784.34868525,1950345.63666827,1
2011-01-04,2011-04-04,1142263.07208702,1934118.00981451,1
2011-01-04,2011-01-31,1153828.59997424,1835764.79989024,1
2011-01-04,2011-01-31,1160293.7926002,1832903.73803427,1
2011-01-04,2011-02-18,1133616.98541526,1926825.11172175,1
2011-01-04,2011-02-04,1128338.3543043,1937736.95428989,1
2011-01-04,2011-02-08,1130881.61566665,1939728.66670015,1
2011-01-04,2011-02-04,1138037.08569982,1931022.32991127,1
2011-01-05,2011-01-14,1171420.73491317,1849642.54831042,1
2011-01-05,2011-01-13,1153374.76258404,1863593.47012618,1
2011-01-05,2011-01-13,1156009.7714958,1867074.09839798,1
2011-01-05,2011-01-07,1138966.2399882,1920728.13002531,1
2011-01-05,2011-01-12,1131871.90198566,1860641.00768634,1
2011-01-05,2011-01-12,1149595.33528949,1893520.3271221,1
2011-01-05,2011-01-25,1169073.19997706,1938027.92001948,1
2011-01-05,2011-06-06,1179486.22821083,1854020.30942921,1
2011-01-05,2011-01-31,1151626.23668705,1831992.31993404,1
2011-01-05,2011-01-19,1155487.94378631,1932069.94010932,1
2011-01-05,2011-01-31,1164425.24079579,1875415.469969,1
2011-01-05,2011-01-25,1176359.7394,1878149.25755,1
2011-01-05,2011-01-31,1147731.73998812,1852864.41003184,1
2011-01-05,2011-01-26,1162394.62890919,1887551.18322259,1
2011-01-05,2011-02-08,1130895.15279854,1935858.25148244,1
2011-01-05,2011-05-19,1129934.34531685,1927900.07058358,1
2011-01-05,2011-02-04,1156776.24181598,1886603.11079966,1
2011-01-05,2011-02-01,1193010.96468167,1837126.82428773,1
2011-01-05,2011-05-04,1147763.2745121,1911937.5469701,1
2011-01-05,2011-02-08,1126024.04847264,1937047.55281808,1
2011-01-05,2011-04-13,1173614.81760841,1847164.87858267,1
2011-01-05,2011-04-11,1167066.31540314,1919377.1730302,1
2011-01-06,2011-01-10,1173212.47070897,1921582.78892398,1
2011-01-06,2011-01-13,1138229.92426633,1903403.52346618,1
2011-01-06,2011-01-07,1158284.94831954,1856755.19672435,1
2011-01-06,2011-01-07,1143194.25353238,1871392.85598971,1
2011-01-06,2011-01-07,1136537.18381744,1935571.69793149,1
2011-01-06,2011-01-10,1157896.44623339,1908864.42028457,1
2011-01-06,2011-01-11,1138752.39129328,1910078.69641319,1
2011-01-06,2011-01-26,1155546.7099108,1930503.63893094,1
2011-01-06,2011-04-08,1139495.17021451,1910094.71540407,1
