POD_ID,INSTALL_DATE1,REMOVE_DATE1,INSTALL_DATE2,X_COORD,Y_COORD
259.00,2391.00,2430.00,-1.00,1183141.42,1870414.00
261.00,970.00,993.00,-1.00,1183015.79,1872703.63
261.00,993.00,2631.00,2639.00,1183354.15,1872599.08
274.00,144.00,686.00,-1.00,1176584.07,1870832.69
279.00,213.00,1399.00,-1.00,1181072.15,1881417.11
280.00,213.00,1401.00,-1.00,1180174.33,1881401.94
280.00,1401.00,-1.00,-1.00,1178703.10,1878339.98
283.00,2183.00,-1.00,-1.00,1181721.52,1880634.15
287.00,277.00,753.00,-1.00,1176248.90,1880775.17
290.00,287.00,978.00,978.00,1180924.40,1878338.75
290.00,978.00,978.00,-1.00,1180934.86,1878338.70
296.00,313.00,3290.00,-1.00,1178401.78,1874037.29
299.00,341.00,684.00,-1.00,1177827.92,1865982.13
340.00,511.00,3290.00,-1.00,1182905.41,1873273.70
341.00,515.00,2391.00,-1.00,1183141.42,1870414.00
385.00,524.00,3290.00,-1.00,1179730.23,1871293.51
392.00,564.00,-1.00,-1.00,1179361.82,1878943.27
393.00,564.00,-1.00,-1.00,1179118.74,1884517.17
403.00,595.00,-1.00,-1.00,1183233.99,1875218.61
404.00,600.00,-1.00,-1.00,1187278.18,1871302.37
424.00,430.00,798.00,-1.00,1176846.81,1882075.59
478.00,430.00,798.00,-1.00,1176846.81,1882075.59
479.00,837.00,837.00,-1.00,1178902.74,1866549.06
480.00,837.00,1061.00,-1.00,1178902.74,1866549.06
480.00,1061.00,3375.00,-1.00,1179370.66,1866535.55
503.00,679.00,1314.00,-1.00,1179725.74,1874138.68
537.00,366.00,2495.00,-1.00,1176883.43,1883127.93
538.00,366.00,1141.00,-1.00,1176925.20,1880470.53
539.00,366.00,1141.00,-1.00,1176932.91,1877823.56
540.00,366.00,1141.00,-1.00,1177164.64,1875220.12
541.00,366.00,1141.00,-1.00,1177343.40,1872179.20
544.00,366.00,2495.00,-1.00,1176844.03,1884449.75
545.00,366.00,2495.00,-1.00,1176897.47,1881797.95
546.00,366.00,1141.00,-1.00,1177031.83,1878842.85
547.00,366.00,1141.00,-1.00,1176880.16,1876393.51
548.00,366.00,1141.00,-1.00,1177044.90,1873864.55
549.00,366.00,1141.00,-1.00,1177116.82,1871203.02
565.00,677.00,840.00,-1.00,1176192.21,1884424.46
588.00,350.00,-1.00,-1.00,1177827.92,1865982.13
656.00,1230.00,1876.00,-1.00,1184244.42,1871402.60
659.00,798.00,-1.00,-1.00,1176846.81,1882075.59
718.00,840.00,1079.00,-1.00,1176192.21,1884424.46
795.00,923.00,3290.00,-1.00,1178339.49,1871130.03
824.00,922.00,3504.00,-1.00,1182323.71,1876883.46
828.00,920.00,1529.00,-1.00,1182405.73,1874018.55
863.00,1195.00,3308.00,-1.00,1184346.73,1875004.51
913.00,2142.00,2626.00,-1.00,1184605.40,1876650.63
915.00,2125.00,-1.00,-1.00,1180771.39,1879181.17
937.00,3504.00,-1.00,-1.00,1182323.71,1876883.46
1969.00,1079.00,-1.00,-1.00,1176192.21,1884424.46
2309.00,1125.00,3630.00,-1.00,1176122.36,1876913.88
2390.00,1134.00,-1.00,-1.00,1178691.59,1879841.26
2399.00,1134.00,-1.00,-1.00,1177399.27,1873126.79
2419.00,1160.00,3490.00,-1.00,1181101.60,1877845.68
2431.00,1335.00,-1.00,-1.00,1180406.40,1874042.36
2458.00,1314.00,1329.00,-1.00,1179428.82,1878970.70
2459.00,1309.00,1329.00,-1.00,1179500.12,1876575.01
2460.00,1310.00,1800.00,-1.00,1180131.23,1866931.12
2460.00,1800.00,-1.00,-1.00,1180131.87,1866931.09
2461.00,1314.00,-1.00,-1.00,1179725.74,1874138.68
2462.00,1309.00,1985.00,-1.00,1180407.22,1869922.44
2462.00,2892.00,-1.00,-1.00,1179871.41,1878910.61
2464.00,1314.00,1329.00,-1.00,1179791.12,1871189.93
2475.00,1366.00,1660.00,1660.00,1183061.68,1879644.86
2482.00,1673.00,1691.00,-1.00,1179659.57,1871289.41
2485.00,1548.00,1548.00,-1.00,1177627.60,1881670.51
2494.00,1673.00,1691.00,-1.00,1179429.39,1878907.32
2500.00,1673.00,1691.00,-1.00,1179500.12,1876575.01
2500.00,1985.00,-1.00,-1.00,1180407.22,1869922.44
2501.00,1377.00,1377.00,-1.00,1177627.60,1881670.51
2509.00,1377.00,1377.00,-1.00,1177627.60,1881670.51
2516.00,1401.00,-1.00,-1.00,1178544.74,1868464.68
2524.00,1324.00,2890.00,-1.00,1179871.41,1878910.61
2525.00,1324.00,-1.00,-1.00,1178244.69,1879168.48
2526.00,1324.00,-1.00,-1.00,1178465.33,1879794.58
2534.00,1236.00,3155.00,-1.00,1178846.54,1881824.21
2554.00,2632.00,-1.00,-1.00,1184605.40,1876650.63
2558.00,1348.00,-1.00,-1.00,1184244.42,1871402.60
2608.00,1547.00,-1.00,-1.00,1182405.73,1874018.55
2647.00,2471.00,-1.00,-1.00,1183141.42,1870414.00
2693.00,2050.00,3290.00,-1.00,1179458.64,1877881.97
2713.00,2014.00,-1.00,-1.00,1182446.76,1871361.66
2742.00,2014.00,-1.00,-1.00,1179388.97,1881843.07
2749.00,2014.00,-1.00,-1.00,1180792.94,1871314.20
2761.00,2050.00,-1.00,-1.00,1179654.77,1876551.99
2789.00,2126.00,-1.00,-1.00,1187586.40,1870578.05
2791.00,3602.00,-1.00,-1.00,1177626.29,1881769.62
2798.00,3603.00,-1.00,-1.00,1177699.14,1881234.25
2829.00,2131.00,-1.00,-1.00,1179388.54,1880524.32
2830.00,2131.00,-1.00,-1.00,1178732.70,1879534.45
2855.00,2162.00,2808.00,2945.00,1178252.04,1867866.39
2861.00,3063.00,3199.00,-1.00,1176897.47,1881797.95
2863.00,3163.00,-1.00,-1.00,1178846.54,1881824.21
2973.00,2526.00,-1.00,-1.00,1188163.88,1870333.30
2974.00,2526.00,-1.00,-1.00,1189301.11,1868864.22
3156.00,3063.00,-1.00,-1.00,1179383.49,1868493.16
3165.00,3167.00,-1.00,-1.00,1187847.45,1872720.60
3246.00,3290.00,-1.00,-1.00,1178339.49,1871130.03
3247.00,3294.00,-1.00,-1.00,1179730.23,1871293.51
3248.00,3290.00,-1.00,-1.00,1178401.78,1874037.29
3249.00,3290.00,-1.00,-1.00,1182905.41,1873273.70
3250.00,3290.00,-1.00,-1.00,1179458.64,1877881.97
3278.00,3308.00,-1.00,-1.00,1184346.73,1875004.51
3413.00,3562.00,-1.00,-1.00,1177545.31,1884268.41
3456.00,3604.00,-1.00,-1.00,1176121.17,1876914.98
255.00,351.00,649.00,-1.00,1182613.04,1864728.60
256.00,221.00,649.00,-1.00,1192111.57,1858270.18
262.00,391.00,1797.00,-1.00,1182638.40,1864063.95
266.00,221.00,3284.00,-1.00,1180001.84,1863129.36
282.00,461.00,696.00,-1.00,1179572.60,1863805.76
338.00,505.00,683.00,-1.00,1179967.00,1864643.28
349.00,551.00,774.00,872.00,1194771.88,1855841.58
361.00,581.00,3209.00,-1.00,1176886.37,1861910.81
401.00,575.00,3283.00,-1.00,1187964.79,1863518.19
417.00,2440.00,-1.00,-1.00,1184160.39,1862492.60
419.00,840.00,2944.00,2944.00,1186774.13,1858849.95
428.00,836.00,1497.00,-1.00,1181143.48,1858052.86
428.00,1497.00,-1.00,-1.00,1181894.04,1857989.22
469.00,649.00,-1.00,-1.00,1182613.04,1864728.60
470.00,649.00,3612.00,-1.00,1192111.57,1858270.18
470.00,3612.00,-1.00,-1.00,1192111.57,1858270.18
477.00,683.00,-1.00,-1.00,1179967.00,1864643.28
565.00,840.00,3274.00,-1.00,1185524.39,1857417.25
727.00,872.00,3283.00,-1.00,1181032.24,1861358.20
741.00,882.00,-1.00,-1.00,1187342.80,1860851.45
769.00,892.00,894.00,-1.00,1181962.54,1860641.87
769.00,894.00,3408.00,-1.00,1182059.33,1860727.84
774.00,894.00,895.00,-1.00,1190762.86,1856921.22
774.00,895.00,3653.00,-1.00,1190812.98,1856949.73
775.00,892.00,3275.00,-1.00,1182615.32,1862029.33
776.00,896.00,3650.00,-1.00,1190281.65,1858230.05
853.00,934.00,3274.00,-1.00,1179215.39,1859973.51
855.00,1068.00,-1.00,-1.00,1183940.21,1864756.29
901.00,972.00,1035.00,-1.00,1184265.46,1862228.20
901.00,1035.00,2440.00,-1.00,1184160.39,1862492.60
922.00,986.00,2737.00,-1.00,1176039.46,1863195.54
933.00,1027.00,1027.00,-1.00,1176886.37,1861910.81
2032.00,1124.00,3273.00,-1.00,1183826.86,1857473.91
2429.00,1272.00,-1.00,-1.00,1185701.87,1864203.03
2441.00,1338.00,3651.00,-1.00,1190636.88,1858183.00
2442.00,1349.00,2626.00,-1.00,1188862.18,1858835.80
2505.00,1348.00,2405.00,-1.00,1181448.71,1860769.51
2549.00,1302.00,1647.00,-1.00,1182936.72,1863574.44
2570.00,1754.00,-1.00,-1.00,1182995.34,1863407.51
2576.00,1761.00,3283.00,-1.00,1183927.68,1862731.39
2597.00,1391.00,-1.00,-1.00,1178782.67,1859303.40
2644.00,2420.00,-1.00,-1.00,1181329.46,1860715.31
2690.00,2142.00,3283.00,3283.00,1183841.82,1862366.29
2692.00,1971.00,3352.00,-1.00,1183135.76,1864031.96
2696.00,2009.00,2079.00,-1.00,1189675.38,1867578.59
2723.00,2014.00,-1.00,-1.00,1187593.60,1863516.85
2724.00,2014.00,-1.00,-1.00,1187841.12,1864126.51
2754.00,2036.00,-1.00,-1.00,1180775.65,1862616.09
2765.00,2076.00,2461.00,-1.00,1189682.54,1867555.65
2779.00,2092.00,2418.00,-1.00,1188820.38,1863506.86
2850.00,2160.00,-1.00,-1.00,1181996.96,1862780.60
2851.00,2160.00,-1.00,-1.00,1181453.68,1862086.87
2853.00,2161.00,-1.00,-1.00,1180031.96,1861925.10
2859.00,2167.00,2624.00,-1.00,1183516.23,1862106.20
2859.00,2624.00,-1.00,-1.00,1183455.56,1861695.37
2917.00,2667.00,-1.00,-1.00,1190975.21,1863984.81
2923.00,2418.00,-1.00,-1.00,1188820.38,1863506.86
2975.00,2526.00,-1.00,-1.00,1190975.21,1863984.81
2976.00,2526.00,-1.00,-1.00,1193438.25,1858316.69
2977.00,2526.00,-1.00,-1.00,1193449.98,1858969.69
2981.00,2526.00,-1.00,-1.00,1189637.47,1867866.81
3149.00,3063.00,-1.00,-1.00,1176110.14,1863132.50
3151.00,3063.00,-1.00,-1.00,1177485.84,1859298.87
3152.00,3063.00,-1.00,-1.00,1177431.96,1859556.16
3155.00,3063.00,-1.00,-1.00,1178902.89,1863271.71
3176.00,3209.00,-1.00,-1.00,1176886.37,1861910.81
3223.00,3273.00,-1.00,-1.00,1183826.86,1857473.91
3224.00,3274.00,-1.00,-1.00,1185524.39,1857417.25
3226.00,3274.00,-1.00,-1.00,1179215.39,1859973.51
3227.00,3275.00,-1.00,-1.00,1182615.32,1862029.33
3229.00,3283.00,-1.00,-1.00,1181032.24,1861358.20
3230.00,3283.00,-1.00,-1.00,1183927.68,1862731.39
3230.00,3283.00,3283.00,-1.00,1183841.82,1862366.29
3233.00,3283.00,-1.00,-1.00,1187964.79,1863518.19
3235.00,3286.00,-1.00,-1.00,1176028.22,1863580.53
3285.00,3342.00,-1.00,-1.00,1183841.82,1862366.29
3288.00,3408.00,-1.00,-1.00,1182059.33,1860727.84
3598.00,3650.00,-1.00,-1.00,1190281.65,1858230.05
3606.00,3651.00,-1.00,-1.00,1190781.64,1858247.18
3607.00,3652.00,-1.00,-1.00,1190812.98,1856949.73
3702.00,3736.00,-1.00,-1.00,1189555.91,1867495.76
228.00,138.00,685.00,-1.00,1198101.57,1845194.37
228.00,733.00,1559.00,1559.00,1197170.12,1847790.97
228.00,1887.00,3680.00,-1.00,1197389.17,1847795.35
231.00,119.00,732.00,-1.00,1197308.05,1846508.28
232.00,1091.00,-1.00,-1.00,1198772.54,1843882.53
233.00,2442.00,-1.00,-1.00,1201597.65,1836554.26
234.00,119.00,733.00,-1.00,1197170.12,1847790.97
237.00,105.00,684.00,-1.00,1194234.10,1853059.26
237.00,755.00,1889.00,-1.00,1189837.23,1852917.82
