"Date","Tsfc_F_avg","Tdew_F_avg","Rh_PCT_avg","Psfc_MB_avg","CldCov_PCT_avg","Tapp_F_avg","Spd_MPH_avg","Tsfc_F_max","Tdew_F_max","Rh_PCT_max","Psfc_MB_max","CldCov_PCT_max","Tapp_F_max","Spd_MPH_max","Tsfc_F_min","Tdew_F_min","Rh_PCT_min","Psfc_MB_min","CldCov_PCT_min","Tapp_F_min","Spd_MPH_min","PcpPrevHr_IN"
2001-01-01,24.6666666666667,21.4875,88.125,1007.60833333333,98.4166666666667,13.0875,13.1666666666667,26.9,23.3,93,1010.4,100,16,17,21.4,19.5,83,1005.3,82,8.1,7,0
2001-01-02,17.0875,16.0125,96.1666666666667,1011.27916666667,31.0416666666667,2.07083333333333,16.1666666666667,22,19.7,100,1014.1,82,9.7,24,14.2,13.9,91,1005.6,3,-4.9,13,0
2001-01-03,24.225,22.4291666666667,93.4583333333333,997.991666666667,84.375,9.97916666666667,19.5,33.4,30.7,100,1004.5,100,23.6,25,15,14.6,87,994.5,15,-4.2,10,0.04
2001-01-04,27.9708333333333,25.4416666666667,90.4583333333333,991.1125,84.75,15.8625,19.2083333333333,35.1,32.9,93,997.5,100,21.8,32,21.2,18.2,86,979.3,37,9.6,7,0.08
2001-01-05,34.7083333333333,31.5166666666667,88.5,982.929166666667,99,22.925,22.75,36.5,34.7,94,989.5,100,24.5,26,29.5,25.6,84,977.5,96,19.1,14,0.02
2001-01-06,31.6833333333333,29.2833333333333,91.25,984.9875,91,21.075,16,35.3,33.7,94,988.4,100,26.5,24,26.8,24.3,88,981.8,75,14.9,10,0
2001-01-07,32.0166666666667,28.4625,87.1666666666667,989.408333333333,80.4583333333333,21.4833333333333,15.3333333333333,35.8,33.8,95,993.8,100,27.4,18,27.5,23.7,80,984.7,33,15,12,0.02
2001-01-08,25.975,22.0333333333333,85.25,996.533333333333,97.875,13.7291666666667,15.25,27.9,23.9,88,1000.7,100,17.2,18,23.2,19.6,82,993.5,91,10.7,12,0
2001-01-09,23.1541666666667,19.9125,87.625,1001.35833333333,22.2083333333333,9.08333333333333,18.5416666666667,25,22.3,91,1003.3,98,13.1,24,20.3,16.5,84,999.1,0,6.2,13,0
2001-01-10,30.7083333333333,28.4375,91.7083333333333,997.754166666667,30.4166666666667,17.7333333333333,22.0833333333333,35.7,34.1,95,999.8,93,24.5,24,25.7,23.5,86,996.2,0,10.8,18,0
